time,length
1410903168, 102012969
61997667, 4673004
984345417, 69670863
635595000, 53890329
1281948459, 106408480
30928208, 939068
327442125, 22863015
1080425834, 84592304
1429428334, 96392563
862447625, 69974909
941539959, 82951869
245873500, 20822277
348455750, 30131820
1104991251, 96074776
1230953167, 94477365
1368931542, 97053553
1042341625, 75387178
1122604417, 79229087
652285584, 52550685
440161876, 32169598
1188124959, 92064479
215613917, 18283538
39796041, 2652817
50923750, 3741738
380975001, 32793134
229399917, 19424536
827024334, 72464167
986601751, 96880877
25915208, 1493301
23103666, 1196072
1004883001, 89364194
636698167, 56421558
427695167, 41122493
1030545209, 100154305
951561167, 84232101
961547543, 91289593
64632042, 4805231
539186292, 47472931
551203750, 47449734
382021751, 36730781
323694626, 31039745
395910209, 37926275
564041084, 49374995
783834333, 75988442
882055751, 78220967
841966917, 74387747
153185750, 14092493
171094417, 13917690
207501042, 17515640
1222606084, 107248509
30444250, 1120205
792672917, 66864055
79328875, 5856769
1210586125, 107312096
961950376, 94603978
757390750, 66868313
630991750, 61640757
527818501, 51115925
992586584, 95373299
357459834, 31125976
665406042, 58444524
752090209, 65517336
892205001, 79549806
232417000, 20115249
712119751, 63173015
1121290084, 99645231
894683417, 79698423
1045598250, 102409445
371018250, 35615096
272419542, 25859907
689801333, 66708872
582259626, 50929137
281649875, 24144738
731829167, 69505567
861592751, 84242506
880213042, 77748761
1173371209, 104205971
165992791, 15262794
697875167, 61430085
371948208, 32266389
1091828667, 96928990
97465334, 8472664
869369959, 76761450
1100797333, 106781362
727310667, 70897548
363216334, 32929126
1221325501, 107750190
949307875, 84610825
684536751, 65958702
1177439084, 104544236
1084954626, 103901107
130961916, 10660912
690886376, 59006058
94644792, 8157140
678956876, 66283196
1065312000, 103649025
697097834, 67778813
732224792, 64254420
382790000, 33576932
489606376, 42892511
1101186668, 107108905
944267542, 92290177
428249542, 41186674
1009434458, 82973557
519139167, 39744942
1429218084, 104409430
1172620834, 90722989
1152260293, 92141317
1377253334, 101256696
349176084, 30252519
817309251, 55868402
207427167, 16574855
399776125, 26617817
838858292, 64407411
223392583, 15298135
1272883084, 104229021
834881374, 60151373
1165193042, 89396640
402330376, 37498718
485285083, 42429611
927589292, 89410925
540041875, 46140320
1206558751, 105511632
1197512584, 106216253
629738625, 59042178
679719001, 64144298
643780208, 56215008
921985126, 81953768
789968542, 70080965
327328208, 31434314
1100895375, 97665239
1218845584, 105499333
149681167, 13691047
734008459, 64934445
520149084, 46050471
830274375, 80089678
620028042, 54725351
396286459, 37115601
715980083, 62874157
1022905500, 99513006
740083000, 65816162
740579876, 65012603
366728917, 31687846
282853167, 26643761
470338292, 40596844
340807209, 32359639
359443125, 34069291
1075149584, 94190182
541281750, 47022416
490467625, 42901098
150258750, 12322742
546758376, 47934285
70917666, 5490866
593256042, 50924651
272883208, 25750885
937705875, 82595052
648667459, 63357714
494608791, 43460422
963896876, 94119350
149808708, 13707608
1071425375, 94974743
446340875, 43300489
787481250, 76923672
1210174626, 99259145
463609167, 30046571
442262083, 34685321
823798625, 63432886
1001958709, 77599438
1213407043, 102623494
988511792, 78656083
941439250, 71759349
208608542, 16173266
73945583, 6228255
1355918001, 95072111
185356875, 13684467
197678541, 8206015
1293072250, 95462751
621572667, 55688429
162699834, 13088756
1049696376, 60824064
295672959, 16935550
182224417, 14126432
1208586918, 92236167
220318709, 18302050
772753334, 35841356
976829042, 76701898
1435978292, 89052931
811899500, 67708479
440708542, 26843706
1398907459, 100050731
1193640334, 92898828
308085584, 24673247
1147315042, 96475613
630874417, 56694979
427916709, 31402480
963467458, 74402348
1125469874, 86361784
406462875, 30860883
542088000, 40365503
1075206125, 80020094
389630208, 30935588
419674625, 25111293
1203686709, 86104209
42379625, 134791
1381898292, 100076990
291324958, 25142221
61350458, 4410016
1393483251, 95207894
1375457751, 101658053
718079834, 48137583
1138815167, 77986466
1024193418, 68325623
1436707918, 107212836
395789250, 26237474
77093209, 5834734
1650691501, 97763213
1532876709, 107058398
38460042, 2141637
1071063667, 66931062
672743792, 50209998
175639833, 13041546
636948167, 38970489
149648958, 10167119
521016375, 44739761
887770625, 70714359
129297334, 6088118
633519083, 38241879
1267275001, 99497602
1084085751, 87371940
1405021042, 107416643
402112000, 34565600
1262616876, 85757117
172562542, 10791567
543274917, 45629742
1026451292, 82463158
720607583, 48549659
1474540501, 84664705
1425417168, 101548981
79292667, 6078184
463682251, 29980034
1049586459, 63589140
583718458, 47265950
1574849875, 99390951
255143208, 19918702
987026625, 62301094
1146259376, 83633111
343376917, 24705285
661505875, 53410575
589195708, 37798994
202152417, 15094510
157074084, 10564720
1445956459, 98780103
1159281250, 84452685
1301380876, 93804998
1091363293, 77319503
186688916, 13572865
251368459, 17731942
760152292, 57814130
538657167, 37034110
139481292, 10702363
916253542, 74423108
853021501, 64662213
1042669959, 73522792
1641746084, 104885263
562045792, 44208178
1633095249, 104449828
756246625, 49230664
249475292, 19009787
806225376, 55664908
417809208, 20281532
1277280126, 99762728
583258709, 42533366
139875084, 10721917
129279500, 5061097
760715501, 65694448
1246782292, 88816659
364027834, 31159012
431744625, 31135923
328958917, 27894487
773136417, 51077811
61783791, 4942997
1036679584, 85470989
239322625, 11312588
727286333, 60663820
840777209, 71088808
233997084, 12961834
378572459, 21708786
1495969125, 104105449
1301278459, 84354392
861562459, 60204928
802238334, 67236379
783866417, 57418303
545498584, 38626367
1069737834, 77823274
614401209, 46912934
1161006084, 80142453
360309208, 25081635
514796500, 31131622
227946333, 19479117
381099625, 33061756
122326333, 10086025
123997333, 8573050
1024820209, 106147783
472486958, 42874688
553850458, 57719971
380007500, 35034559
118341083, 11360928
131697750, 11993191
849217167, 88719083
1011049500, 106152764
1148166501, 108270923
192844542, 17623081
791957751, 75375806
953913418, 90519031
260407125, 23365339
666044583, 68144112
881918833, 90731834
422887917, 39019096
532376167, 50476610
477590126, 47695561
372249125, 34993642
105165250, 9406654
944751959, 95796930
518303625, 44298915
920877167, 95758887
385025375, 36407482
522261709, 44580675
665558334, 69174567
595583792, 56536222
949687459, 90141243
814257375, 76728407
171570083, 15739108
403416334, 41608544
680797501, 69926896
982467792, 101433044
821689001, 75226780
546332708, 51312410
1071561376, 101197460
304880666, 30806749
1010511667, 93792622
218375250, 20992666
606810292, 56444898
673346625, 69934935
1047170918, 99521205
126879916, 11209469
1089846125, 103524391
829561042, 83611843
147331375, 13162525
793035126, 82898247
792464334, 81551905
614867959, 61584789
529497875, 53872356
945787541, 89835238
472412583, 48797641
210182375, 21292030
934467459, 88701628
654052500, 62278920
406691792, 38492916
608147875, 63330369
947712292, 85647100
88549875, 7646631
129022125, 12742146
656641125, 67669626
28433750, 1955412
749776001, 70060490
571545334, 52123302
1105538583, 103739346
970900417, 101958321
237472000, 24262446
1119660501, 106301604
605991458, 57424753
385222375, 36253747
747994251, 70951182
860147125, 90261672
417111792, 37556739
457200875, 41406609
872051418, 90607463
798107167, 75528351
192964792, 18810454
335566958, 31095579
1030751042, 106373004
1052239125, 108058894
696883376, 72894959
7372375, 96118
110056042, 9908674
439176500, 41556762
398418333, 37004426
187907542, 18791285
958030959, 97394534
487360084, 43764991
908089750, 93605621
721185167, 75296361
45417875, 3197418
958524292, 99911662
1007802542, 104438055
1010070459, 105558183
126309583, 11384408
936860251, 88717202
604741584, 57581458
941393667, 99173558
596550126, 56717124
757246583, 72494969
541298167, 51276652
1034969375, 98861541
149764083, 13730575
762703709, 80153348
80011875, 6683639
894627126, 85373430
348302750, 32925107
1006013584, 105750883
648563709, 61910852
26284833, 1775773
630835751, 66265001
910498501, 96090498
948533834, 100345355
131847250, 13130140
851254750, 89352732
104083167, 8844797
402804584, 41997417
551086209, 57680164
894710834, 94254939
929070125, 96549768
930424709, 97329543
698769084, 73409466
1037665918, 97647261
508597459, 52948334
620746417, 58824948
659478875, 62333612
216615666, 22046660
1005245833, 105497761
851854042, 87246721
412859542, 36562647
390456333, 39856085
321378584, 29491344
273649875, 25605813
25341333, 1343904
1103462292, 104606905
702416459, 73271075
816707833, 83155073
705303792, 72348774
755527958, 78284484
570001459, 59149655
195755708, 19756919
587651125, 55083878
1136048917, 98173412
1195771042, 107850197
1029065208, 93045084
514375667, 52480842
727697167, 68876126
505098167, 52310605
846822959, 88383704
1272891626, 105537991
620241292, 64093487
339725042, 34048906
54878250, 4381692
21617125, 1184072
294854417, 25466360
997884292, 100865737
178556000, 16110640
954970751, 90271089
614378000, 63965613
84665208, 7308042
248359084, 25252820
116595916, 10294434
801199459, 75522692
900623625, 85854410
238074208, 23935653
1060571084, 101322940
547204333, 56526202
433945125, 38994287
782527417, 79445948
496675292, 50795159
438344584, 40416547
