time,length
97587708, 19105138
119246583, 13270523
158773875, 16049539
175041292, 32539870
297192292, 77306106
251806958, 66374409
258950958, 55970642
110550250, 15614484
192410000, 42469253
182899416, 38857304
111105542, 7582113
143669459, 25587127
120922500, 20758135
202937167, 52455203
194133583, 48185492
151180459, 32330632
289039583, 81818357
230702166, 58288661
295905584, 83368203
258000167, 69038643
275688167, 73937317
159276083, 30723973
300327792, 74379696
343178167, 104382010
159436375, 30605099
240341958, 65865016
190087750, 42105184
98117750, 9971924
92793375, 8731731
56478417, 2434654
210067875, 50967352
338584000, 106319250
173484375, 50606193
61600833, 4451742
157331584, 27924347
365550001, 103385871
167659042, 35073058
328327625, 90898500
219014208, 46638567
293775500, 82647362
176588958, 44626921
157023167, 39595567
164553416, 31512350
117096208, 25225511
190186250, 48525773
272537042, 67262320
147610833, 21119817
84573709, 11990153
364473084, 101644251
241594416, 57435135
275327959, 78860921
124233459, 22450317
154753125, 27237998
169362625, 29372119
261943042, 69561230
332485667, 89287539
273457875, 66433604
151975875, 35598716
283800167, 79098776
187386208, 44427721
270463542, 69838606
265103584, 63221428
164631875, 31698899
132281917, 30996008
300784667, 88948811
193847125, 51760229
331747625, 99981584
260215666, 68698815
98992125, 4508242
80004083, 10977573
66999375, 7167338
177335750, 44316975
240034833, 52983195
326684042, 82837318
266141166, 73689674
246499001, 59436108
274349458, 73709408
106532125, 12802607
243537667, 61785119
54708250, 1536153
326992834, 95592626
147846209, 26190897
397127625, 89742481
188949833, 30975593
187607250, 40334591
140808041, 18555802
211110375, 47383329
71913667, 8784894
132814792, 18485525
243207000, 58997474
141156875, 27502852
365106125, 101955080
129991584, 11729774
142272500, 31216199
317236209, 85303988
169191792, 43081300
240068000, 55122271
90920126, 7963621
106947666, 16438848
362477250, 90104852
94284958, 10412735
123049334, 17489996
323496417, 70429162
180072209, 39619295
339963250, 98618066
406323834, 107134935
352421875, 93165165
426320625, 86479541
283228209, 39924373
307528959, 70351089
321541500, 94196450
452236334, 102297840
259734708, 52747824
100398917, 9744455
310798334, 52612089
140201875, 19071798
250134334, 54612306
417407792, 105586016
301999167, 82816202
216487584, 31566349
49833167, 1824947
519744917, 107767191
188643000, 49318841
333528833, 100591375
610516917, 78314854
199094833, 45821962
150557750, 28500098
148164209, 25588818
114370625, 20735496
229289542, 64643900
263173666, 69600506
358541208, 94644305
62394917, 2611860
276184083, 71023430
354781167, 104596490
174184584, 38918353
329549333, 93914000
284987042, 82078130
209447500, 51713497
108273541, 10473513
157716792, 32750617
182009917, 36172397
187056500, 55377600
118536917, 12581422
360608459, 106407569
142062542, 36460938
142864251, 29028759
301307291, 78788494
201009125, 47038585
243031042, 62703497
353897334, 93721830
78483417, 3376055
125854542, 17761738
195250667, 44482047
175976500, 39073593
182107125, 32412503
234082250, 60249966
125341750, 14158074
363838459, 108275558
185265834, 41603298
267539375, 79933821
165031667, 35079892
310351209, 88450025
123742584, 22417659
358977542, 107663289
92348250, 10054151
168162041, 31113886
65363625, 459784
454022125, 107348600
363376875, 80720609
76687875, 2678982
315127417, 67592680
250936291, 57846765
269502751, 69205819
296522709, 74759960
264666959, 75883630
335937250, 101752986
273568375, 84437853
310192375, 82432177
346999709, 87294271
326513875, 69404997
140551416, 19823051
136777542, 21347846
46174000, 821380
100602125, 11474878
317475251, 92487005
102998958, 15733095
92599250, 20930044
275892459, 82222597
157819584, 33244016
342880917, 102401746
142040709, 27990968
188105209, 43557794
121112750, 17979190
97100875, 12115339
226176125, 56568149
265637042, 76333750
355016333, 96434175
175786667, 35290273
228163250, 62976722
356570251, 104693832
305952708, 75450943
164470625, 44117979
252876833, 65658379
447094709, 108189990
180345625, 43432452
